_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/041/CAT/07/BBY/TM,SG_041_CAT_07_BBY_TM.pdf,https://drive.google.com/file/d/1xDMbNzFv0c9MUD4bEuOs57Jo6vJF5Tqp/view?usp=drivesdk,25 Tahun Bentara Budaya Yogyakarta,2007,AC Andre Tanama,30 x 40 cm,Hardboard cut on canvas,E05-2,/QR/QR-Data-TM/SG-041-CAT-07-BBY-TM.png
SG/042/STP/03/BBY/TM,SG_042_STP_03_BBY_TM.pdf,https://drive.google.com/file/d/1EVl4tk7gGb9WRSSagkWdI2IzzkLdoPS6/view?usp=drivesdk,Mauku Belum Tentu Mauku,2008,A. T. Sitompul,175 x 135 cm,hardboard cut on canvas,E12-2,/QR/QR-Data-TM/SG-042-STP-03-BBY-TM.png
SG/043/HPY/08/BBY/TM,SG_043_HPY_08_BBY_TM.pdf,https://drive.google.com/file/d/14tP1Qj1S1I9vEuwWiv5f4vFXUtdD9gwG/view?usp=drivesdk,Ojo Dumeh,2008,Herpriyanto,200 x 150 cm,Digital Print,E13-2,/QR/QR-Data-TM/SG-043-HPY-08-BBY-TM.png
SG/044/NHC/09/BBY/TM,SG_044_NHC_09_BBY_TM.pdf,https://drive.google.com/file/d/1q2Jne9bOmxCJSj-7tm4X794iLv8h0flc/view?usp=drivesdk,Tembok Rumahku,2009,Nugroho Heri Cahyono,150 x 150 cm,Oil & glueprint on canvas,E12-2,/QR/QR-Data-TM/SG-044-NHC-09-BBY-TM.png
SG/045/ANM/09/BBY/TM,SG_045_ANM_09_BBY_TM.pdf,https://drive.google.com/file/d/1UrrUsQYEk9GGr2ykfjcYrFyJ79f6C50o/view?usp=drivesdk,Mengharap Datangnya,2009,Alexander Nawangseto Mahendrapati,77 x 58 cm,Monotype Hardboard Cut,E09-1,/QR/QR-Data-TM/SG-045-ANM-09-BBY-TM.png
SG/046/DHP/09/BBY/TM,SG_046_DHP_09_BBY_TM.pdf,https://drive.google.com/file/d/1eQLRCDQmt2Bh2iiIpZScDA22jw7ZXRG6/view?usp=drivesdk,Lahirnya Sang Legenda,2009,Danang Hadi Phe,60 x 47 cm,Allugraph,E10-2,/QR/QR-Data-TM/SG-046-DHP-09-BBY-TM.png
SG/047/DRH/09/BBY/TM,SG_047_DRH_09_BBY_TM.pdf,https://drive.google.com/file/d/1WbF8XvFy2mNPRKn7XHFpspDT9-KP0g8g/view?usp=drivesdk,S.O.S,2009,Deni Rahman,130 x 240 cm,Hardboard cut on fabric,F07-2,/QR/QR-Data-TM/SG-047-DRH-09-BBY-TM.png
SG/048/RPA/09/BBY/TM,SG_048_RPA_09_BBY_TM.pdf,https://drive.google.com/file/d/1qEFWuX3X_idzmG_uD2XNpzfz1Z_o_fSV/view?usp=drivesdk,To Struggle,2009,Rully Putra Adi Pratama,160 x 130 cm,Hardboard cut varian #1 on canvas,E15-2,/QR/QR-Data-TM/SG-048-RPA-09-BBY-TM.png
SG/049/TAS/09/BBY/TM,SG_049_TAS_09_BBY_TM.pdf,https://drive.google.com/file/d/1cgW_3CJsp1OyMaHUbi6S53MZMnFc802E/view?usp=drivesdk,Be Your Self,2009,Theresia Agustina Sitompul,76 x 56 cm,Allugraph,E09-1,/QR/QR-Data-TM/SG-049-TAS-09-BBY-TM.png
SG/050/CAT/09/BBY/TM,SG_050_CAT_09_BBY_TM.pdf,https://drive.google.com/file/d/1JPS3hpCrMQKAYXHCwE9HNE-MiNX2f1uj/view?usp=drivesdk,Bola Bali Mangan Ati,2009,AC Andre Tanama,95 x 130 cm,Hardboard cut on canvas,E08-1,/QR/QR-Data-TM/SG-050-CAT-09-BBY-TM.png
