_Kode,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Pameran,_Lokasi,_Deskripsi,@images,_PDF,_Link,@QR-Images
LK/027/GAL/94/BBY/TM,Topeng,1994,Gusti Alit,70 x 60 cm,Cat minyak di atas kanvas,TANDA MATA I,C04-2,"Karya ini merupakan karya era awal sebelum Alit berangkat ke tema-tema non-figuratif. Sapuan garis yang kuat merupakan elemen utama dalam karyanya. Garis-garis yang digoreskan secara diagonal, vertikal, dan horizontal dengan titik-titik warna pada beberapa bagian, mencitrakan upayanya mengejar komposisi abstrak dengan gambaran topeng sebagai pilihan tema.",/TM-Low/LK027GAL94BBYTM.jpeg,LK_027_GAL_94_BBY_TM.pdf,https://drive.google.com/file/d/1h_TPdZs-X_F6B5biGh0FyVbBxXANnLV0/view?usp=drivesdk,
LK/028/ALF/94/BBY/TM,Flying Horse,1994,Alfi Jumaldi,47 x 73 cm,Cat minyak di atas kanvas,TANDA MATA I,C04-1,,/TM-Low/LK028ALF94BBYTM.jpeg,LK_028_ALF_94_BBY_TM.pdf,https://drive.google.com/file/d/1hKggOF20O0oc9b6PBAK4zvHtsuLpqMEf/view?usp=drivesdk,
LK/029/DIB/94/BBY/TM,Saat dalam takut,1994,Darmawan Indra Budi,75 x 70 cm,Cat minyak di atas kanvas,TANDA MATA I,C04-1,,/TM-Low/LK029DIB94BBYTM.jpeg,LK_029_DIB_94_BBY_TM.pdf,https://drive.google.com/file/d/14tXb5VDIFcb62VPnIQs4pKFrADCX1ozc/view?usp=drivesdk,
LK/030/WAN/94/BBY/TM,Obsesi Alam Ikan,1994,I Wayan Arnata,80 x 85 cm,Cat minyak di atas kanvas,TANDA MATA I,C04-1,,/TM-Low/LK030WAN94BBYTM.jpeg,LK_030_WAN_94_BBY_TM.pdf,https://drive.google.com/file/d/1Kr_ybS8Zn-vi8zwgxSq1VKKsZk0E0pMk/view?usp=drivesdk,
LK/031/KWD/16/BBJ/TM,Lukisan Wayang beber Jagong 4,2016,Kuntadi Wasi Darmojo,45 x 85 cm,Akrilik di atas kanvas,,C04-1,,/TM-Low/LK031KWD16BBJTM.jpeg,LK_031_KWD_16_BBJ_TM.pdf,https://drive.google.com/file/d/181-hcgk1WGwEhV5j-S7_TjturKBrJodt/view?usp=drivesdk,
LK/032/FSL/93/BBY/TM,Self Potrait,1993,Faisal,60 x 50 cm,Akrilik di atas kanvas,TANDA MATA I,C04-1,"Pada era 1990-an, nama Faizal meroket dengan menampilkan karya-karya deformatif, kekanak-kanakan, naif, dan banyak menggunakan warna-warna kontras. Tema karyanya bisa pengalaman kehidupan pribadi atau lingkungan sosial dengan imbuhan drama, parodi, humor sekaligus kritik sosial. Seperti generasi sezamannya yang belajar di ISI Yogyakarta, karya Faizal banyak menyerap pengaruh seni rupa Cobra (Copenhagen, Brussel, Amsterdam) yang muncul sekitar tahun 1950-an.",/TM-Low/LK032FSL93BBYTM.jpeg,LK_032_FSL_93_BBY_TM.pdf,https://drive.google.com/file/d/1gza9dSnuFVqudcCsDKZXMa3qrTcUCujF/view?usp=drivesdk,
LK/033/UGU/95/BBY/TM,Yogya-Yogya,1995,Ugo Untoro,100 x 80 cm,Cat minyak  di atas kanvas,TANDA MATA I,C04-2,"Ugo menampilkan impresi tentang kota Yogya dalam enam bidang bergambar dengan tanda atau simbol benda lokal. Dari semua bidang, nampak Ugo melukiskan dengan beragam gaya dari dekoratif, non-figuratif, surealistis, sampai aksara kaligrafi. Keragaman seni lukis Yogya dikutip sebagai tema karyanya, sebelum akhirnya ia menemukan jati diri lewat karya-karya mutakhir yang banyak menampilkan daya kejut.",/TM-Low/LK033UGU95BBYTM.jpeg,LK_033_UGU_95_BBY_TM.pdf,https://drive.google.com/file/d/1kyuHeD3eAVCtH3HOZD1bkkOvne5cyqd9/view?usp=drivesdk,
LK/034/MTS/95/BBY/TM,Karangbolong,1995,M. Tosin,70 x 60 cm,Akrilik di atas kanvas,TANDA MATA I,C04-1,,/TM-Low/LK034MTS95BBYTM.jpeg,LK_034_MTS_95_BBY_TM.pdf,https://drive.google.com/file/d/1pN_qw1ji1-0o-l0nYrCT8oDAvPvSKEvo/view?usp=drivesdk,
LK/035/IHD/95/BBY/TM,Bakul Jamu,1995,Ida Hadjar,30 x 30 cm,Cat air di atas kertas,TANDA MATA I,,,/TM-Low/LK035IHD95BBYTM.jpeg,LK_035_IHD_95_BBY_TM.pdf,https://drive.google.com/file/d/1xBbXEPDbnGtwvFcnbiyoClIcMco7aXlA/view?usp=drivesdk,
LK/036/HTN/93/BBY/TM,Misteri Binatang II,1993,Hartana,100 x 100 cm,Cat minyak  di atas kanvas,TANDA MATA I,C04-2,,/TM-Low/LK036HTN93BBYTM.jpeg,LK_036_HTN_93_BBY_TM.pdf,https://drive.google.com/file/d/1Mm_cN9EutNgOsKyeE4CQjuqjtL98Khpf/view?usp=drivesdk,
