_Kode,_PDF,_Link,_Judul,_Tahun,_Seniman,_Ukuran,_Media,_Lokasi,@QR-Images
SG/043/AES/03/BBJ/TR,SG_043_AES_03_BBJ_TR.pdf,https://drive.google.com/file/d/1RRiMnpjs_TK5_79vBxW_v_sIS06exTZA/view?usp=drivesdk,Hanya Sebuah Episode,2003,Arief Eko Saputro,25 x 175 cm,Grafis,E08-1,/QR/QR-Data-PL/SG-043-AES-03-BBJ-TR.png
SG/044/CAT/06/BBJ/TR,SG_044_CAT_06_BBJ_TR.pdf,https://drive.google.com/file/d/1okkber-Fd3btfgPZAjXdAeFVg6P4Izyk/view?usp=drivesdk,Hegemoni Teknologi,2006,AC Andre Tanama,100 x 85 cm,Grafis,E15-2,/QR/QR-Data-PL/SG-044-CAT-06-BBJ-TR.png
SG/045/APY/06/BBJ/TR,SG_045_APY_06_BBJ_TR.pdf,https://drive.google.com/file/d/1mgXZtWGEcViJg8JYVNNHwBpgKJ25EiDj/view?usp=drivesdk,Tumbuh dan Terkontaminasi II,2006,Agus Prasetyo,113 x 83 cm,Grafis,E05-1,/QR/QR-Data-PL/SG-045-APY-06-BBJ-TR.png
SG/046/ASW/06/BBJ/TR,SG_046_ASW_06_BBJ_TR.pdf,https://drive.google.com/file/d/1S9V4AyG8T94IvT2BbF5OMnDalNADQQwP/view?usp=drivesdk,Super Omnivore,2006,Agus Suwage,D20 60pcs,Cetak Ukiyo-e di atas cardboard,E16-1,/QR/QR-Data-PL/SG-046-ASW-06-BBJ-TR.png
SG/047/WIT/09/BBJ/TR,SG_047_WIT_09_BBJ_TR.pdf,https://drive.google.com/file/d/1Xz4llkZHGulNEnOeZ9DD3Sb-tjzJEruu/view?usp=drivesdk,Imaji Tentang Kerusakan Alam,2009,Winarso Taufik,50 x 40 cm,"Etsa, aquatint, drypoint -Tinta cetak di atas kertas",,/QR/QR-Data-PL/SG-047-WIT-09-BBJ-TR.png
SG/048/IRL/09/BBJ/TR,SG_048_IRL_09_BBJ_TR.pdf,https://drive.google.com/file/d/1jnPmo4xLnYCNElBK4JS0O5JrQf6lkQUS/view?usp=drivesdk,Engraver Family with Their Dog Tracker,2009,Irwanto Lentho,150 x 200 cm,Hardboard cut and stencil on canvas,D16-2,/QR/QR-Data-PL/SG-048-IRL-09-BBJ-TR.png
SG/049/ATS/09/BBJ/TR,SG_049_ATS_09_BBJ_TR.pdf,https://drive.google.com/file/d/1XWL2JYbsQSOCWyqGkul-rYAQgHNj5LfE/view?usp=drivesdk,Cakrawala,2009,Anggara Tua Sitompul,135 x 135 cm,Hardboard cut on canvas,E07-2,/QR/QR-Data-PL/SG-049-ATS-09-BBJ-TR.png
SG/050/APR/12/BBJ/TR,SG_050_APR_12_BBJ_TR.pdf,https://drive.google.com/file/d/1cdSJ-To0i8SlVsMW7jh9YOWlxUqwBAjP/view?usp=drivesdk,Nirbaya Jagratara (Tak Gentar Selalu Waspada),2012,Agung Prabowo,69 x 64 cm,16 Warna cukilan Lino pada kertas,E09-2,/QR/QR-Data-PL/SG-050-APR-12-BBJ-TR.png
SG/051/MFA/12/BBJ/TR,SG_051_MFA_12_BBJ_TR.pdf,https://drive.google.com/file/d/13zBGs3i8tGTnl6fAmqTNQJRvDUhWK0P2/view?usp=drivesdk,"Art, Girl, and Murder",2012,M. Fadhlil Abdi,60 x 40 cm,Woodcut print on paper,E10-2,/QR/QR-Data-PL/SG-051-MFA-12-BBJ-TR.png
SG/052/TAS/12/BBJ/TR,SG_052_TAS_12_BBJ_TR.pdf,https://drive.google.com/file/d/1b4s77EFQR_Gjxj-sdsw0xsZzRTkXRS9K/view?usp=drivesdk,"Book, Prints, and Memory",2012,Theresia Agustina Sitompul,53 x 38 cm,Intaglio (etching) dan relief print,,/QR/QR-Data-PL/SG-052-TAS-12-BBJ-TR.png
